,p_val,avg_logFC,pct.1,pct.2,p_val_adj
Mia2,1.68E-28,0.346093539,0.749,0.118,5.21E-24
Smad4,1.90E-28,0.321928063,0.753,0.128,5.89E-24
Rbm25,1.94E-28,0.579580677,0.974,0.39,6.02E-24
Trim24,2.16E-28,0.309326094,0.719,0.112,6.71E-24
Dnajc1,2.18E-28,0.345310584,0.838,0.187,6.77E-24
Sec61a2,2.57E-28,0.33000039,0.791,0.144,7.98E-24
N4bp2,3.26E-28,0.35645003,0.651,0.075,1.01E-23
Clip4,3.35E-28,0.263706721,0.715,0.107,1.04E-23
Fam208a,3.38E-28,0.3824869,0.774,0.144,1.05E-23
Upf3b,3.42E-28,0.326931827,0.804,0.155,1.06E-23
Rbm5,3.81E-28,0.256937997,0.843,0.176,1.18E-23
Fbxw7,3.84E-28,0.302693152,0.86,0.198,1.19E-23
Grid2,3.85E-28,0.488499596,0.613,0.059,1.19E-23
Larp1b,3.95E-28,0.43333812,0.889,0.246,1.23E-23
4932438A13Rik,4.11E-28,0.510279329,0.962,0.305,1.27E-23
Tmem131l,4.20E-28,0.308821816,0.664,0.08,1.30E-23
Ddx50,4.94E-28,0.25497524,0.906,0.219,1.53E-23
Mark3,5.47E-28,0.256454152,0.86,0.198,1.70E-23
4931406C07Rik,5.78E-28,0.282208552,0.587,0.043,1.79E-23
C2cd5,6.95E-28,0.346095917,0.523,0.016,2.16E-23
Tnrc6c,8.43E-28,0.282820464,0.864,0.203,2.62E-23
Sec31a,8.49E-28,0.312963499,0.694,0.096,2.64E-23
Dnajc5,9.47E-28,0.33943091,0.698,0.107,2.94E-23
Dtnb,9.63E-28,0.332237673,0.668,0.086,2.99E-23
Bbx,1.08E-27,0.55498131,0.932,0.31,3.37E-23
Kdm2a,1.32E-27,0.268907704,0.723,0.112,4.09E-23
Ogt,1.39E-27,0.308316619,0.753,0.128,4.30E-23
Gle1,1.43E-27,0.322273688,0.617,0.059,4.45E-23
Taok1,1.67E-27,0.266295877,0.851,0.193,5.18E-23
Slc4a7,1.67E-27,0.264359207,0.63,0.064,5.19E-23
Cep44,1.67E-27,0.357062679,0.553,0.032,5.19E-23
Csnk1g1,1.68E-27,0.27952441,0.57,0.037,5.22E-23
Synj1,1.95E-27,0.255841433,0.689,0.096,6.06E-23
Zzef1,2.04E-27,0.294401094,0.617,0.059,6.35E-23
Snrnp70,2.44E-27,0.514254527,0.97,0.332,7.59E-23
Lcorl,2.55E-27,0.255891105,0.553,0.032,7.93E-23
Sap30l,2.90E-27,0.31023326,0.779,0.139,9.02E-23
Zc3h13,2.91E-27,0.413442181,0.928,0.283,9.04E-23
2410089E03Rik,3.11E-27,0.4327831,0.83,0.209,9.65E-23
Herc1,3.38E-27,0.311316391,0.923,0.283,1.05E-22
Atp2a2,5.52E-27,0.259647094,0.749,0.134,1.72E-22
Cit,5.77E-27,0.287227577,0.562,0.037,1.79E-22
Brwd1,6.00E-27,0.273769351,0.796,0.155,1.86E-22
Msh3,7.78E-27,0.266710684,0.591,0.053,2.42E-22
Numa1,9.22E-27,0.292714754,0.685,0.096,2.86E-22
Sertad2,9.33E-27,0.27456809,0.613,0.064,2.90E-22
Actl6a,1.12E-26,0.326827547,0.877,0.209,3.48E-22
Sf3b3,1.52E-26,0.260061754,0.826,0.193,4.70E-22
Vps53,1.53E-26,0.278140268,0.723,0.112,4.76E-22
Mycbp2,1.74E-26,0.44396083,0.97,0.364,5.42E-22
Igf2bp3,1.85E-26,0.339949015,0.8,0.182,5.73E-22
Pou4f1,1.90E-26,0.307571237,0.626,0.07,5.91E-22
Herc2,2.22E-26,0.25450925,0.749,0.139,6.88E-22
Eif4enif1,2.38E-26,0.258105443,0.864,0.203,7.38E-22
Krit1,2.54E-26,0.257933635,0.83,0.187,7.88E-22
Pias4,2.79E-26,0.305237888,0.779,0.15,8.66E-22
Rictor,3.03E-26,0.285928084,0.732,0.123,9.41E-22
Ssbp2,3.28E-26,0.37022094,0.851,0.203,1.02E-21
Casc4,3.76E-26,0.27773181,0.634,0.08,1.17E-21
3830406C13Rik,4.50E-26,0.293600838,0.745,0.144,1.40E-21
Mpp6,5.32E-26,0.312181485,0.877,0.23,1.65E-21
Mkln1,5.69E-26,0.336805429,0.834,0.182,1.77E-21
AI314180,6.07E-26,0.333463698,0.855,0.209,1.89E-21
Vps13a,6.22E-26,0.428970821,0.868,0.23,1.93E-21
Clcn3,6.31E-26,0.255126458,0.677,0.107,1.96E-21
Mtf2,6.96E-26,0.253252172,0.796,0.166,2.16E-21
Atp2c1,7.07E-26,0.328563208,0.702,0.118,2.20E-21
Igf1r,7.98E-26,0.259464354,0.732,0.123,2.48E-21
Ccnl1,8.31E-26,0.418174672,0.749,0.139,2.58E-21
