"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Ubb",4.73547497048684e-08,-0.490768677948992,0.741,0.987,0.00147050704258528
"Nhp2",5.20551297534581e-08,-0.933803734891264,0.173,0.526,0.00161646794423414
"Set",5.65041311891476e-08,-0.677267797593777,0.309,0.724,0.0017546227858166
"Ube2l3",6.699441917808e-08,-0.652716288761049,0.309,0.678,0.00208037769873692
"Cox6a1",6.70946310301207e-08,-0.732695036298382,0.346,0.73,0.00208348957737834
"Cox7a1",7.09230110660616e-08,-0.70798348302538,0.037,0.362,0.00220237226263441
"Aamp",7.19154106527794e-08,-0.698680052183572,0.049,0.388,0.00223318924700076
"mt-Co3",7.49163413340672e-08,0.674836969706284,0.951,0.961,0.00232637714744679
"Rpl35",7.50566935862545e-08,-0.412569576794862,0.778,0.961,0.00233073550593396
"Ftl1",8.24205062261805e-08,-0.678119188525668,0.481,0.849,0.00255940397984158
"Rpgrip1",8.61592605397933e-08,-0.960929849452194,0.272,0.632,0.0026755035175422
"Rsl1d1",8.71439669111483e-08,-0.710339960202717,0.136,0.507,0.00270608160449189
"Hnrnpa2b1",8.80604774467284e-08,-0.508186647018096,0.531,0.842,0.00273454200615326
"Atp5j2",8.93917580956502e-08,-0.521838029496945,0.63,0.882,0.00277588226414423
"U2af1",9.11616411842768e-08,-0.688682327094656,0.21,0.612,0.00283084244369535
"Serbp1",9.26565664681221e-08,-0.59153661268276,0.469,0.842,0.0028772643585346
"Morf4l1",9.30146799739801e-08,-0.634170583862716,0.37,0.757,0.002888384857232
"Lsm5",9.37889101213949e-08,-0.843333670958025,0.222,0.586,0.00291242702599968
"Rpa3",9.52510284029122e-08,-0.849935240132965,0.123,0.467,0.00295783018499563
"Bola2",1.02700418296997e-07,-0.609458292135736,0.296,0.691,0.00318915608937664
"Polr2g",1.03706817510759e-07,-0.594692844982643,0.136,0.5,0.00322040780416159
"Hnrnpk",1.05065572758822e-07,-0.491405154136332,0.395,0.822,0.00326260123087969
"Ccnb1",1.09656026826066e-07,-0.727156116022042,0.037,0.368,0.00340514860102984
"Hmgb1",1.10140431688079e-07,-0.549073907828984,0.568,0.914,0.00342019082520993
"Ube2c",1.11696948092989e-07,-0.905156274818569,0.099,0.441,0.00346852532913159
"Cd9",1.17984906950605e-07,-0.576954339364799,0.037,0.368,0.00366378531553714
"Dip2c",1.35827563693163e-07,1.00644801516569,0.272,0.039,0.0042178533353638
"mt-Atp8",1.38564202055139e-07,1.22627313867056,0.432,0.164,0.00430283416641822
"Sap18",1.46558580256042e-07,-0.644197371705747,0.123,0.487,0.00455108359269088
"Caprin2",1.49457553849515e-07,1.39756959621188,0.444,0.178,0.004641105419689
"Sf3b2",1.49986514920997e-07,-0.684565489412832,0.136,0.513,0.00465753124784173
"Mdh2",1.51975980693475e-07,-0.816000246042767,0.136,0.487,0.00471931012847448
"Rps28",1.54474553210653e-07,-0.303903541985081,0.963,0.987,0.00479689830085041
"Bst2",1.57377573551821e-07,-0.807460121500036,0.037,0.349,0.0048870457915047
"Ccnb2",1.61248180445453e-07,-0.567102122982885,0.136,0.507,0.00500723974737266
"Psma4",1.63888078172418e-07,-0.719837111867177,0.247,0.612,0.0050892164914881
"Eef1b2",1.73483275127785e-07,0.650179090563263,0.852,0.875,0.00538717614254312
"Fbl",1.75662850437193e-07,-0.652559228813284,0.259,0.651,0.00545485849462615
"AC160336.1",1.80123458893381e-07,1.30162577386153,0.395,0.125,0.00559337376901615
"Rhoa",1.83125119973817e-07,-0.516574723512807,0.148,0.533,0.00568658435054695
"Polr2h",1.8505452759058e-07,-0.790256179240002,0.074,0.408,0.00574649824527027
"Nsmce4a",1.97744802759451e-07,-0.497788280310109,0.037,0.355,0.00614056936008924
"Ndufs8",2.10431570177918e-07,-0.709344919729784,0.049,0.355,0.00653453154873487
"Txn1",2.10712738872353e-07,-0.92930777781982,0.099,0.428,0.00654326268020319
"Actg1",2.13307873450011e-07,-0.678847723290025,0.481,0.822,0.00662384939424319
"Slc25a4",2.30732325909318e-07,-0.598025451698236,0.259,0.645,0.00716493091646205
"Polr2f",2.44012154548215e-07,-0.663759375025453,0.333,0.711,0.00757730943518571
"Wdr18",2.59344248726778e-07,-0.463992746858117,0.062,0.395,0.00805341695571265
"Ralbp1",2.70669515372569e-07,-0.643128704425705,0.086,0.414,0.00840510046086438
"Dnd1",2.78114336666264e-07,-0.644635386912366,0.012,0.303,0.00863628449649748
"Psma7",2.87949799800854e-07,-0.723672926987504,0.247,0.605,0.00894170513321592
"Snrpd1",2.91285085650468e-07,-0.584536934598847,0.358,0.763,0.00904527576470399
"Uqcr11",2.93719101992938e-07,-0.540829527784616,0.37,0.796,0.00912085927418672
"Cfl1",2.96500455279287e-07,-0.905814384424265,0.222,0.559,0.00920722863778769
"Hormad1",2.99120978687824e-07,1.15368817407564,0.617,0.401,0.00928860375119299
"Ube2b",3.04994137919529e-07,-0.566133030314614,0.247,0.638,0.00947098296481514
"Rbm39",3.20743829776118e-07,-0.560435173520598,0.346,0.757,0.00996005814603779
"Eif3k",3.29562535227242e-07,-0.525208952121383,0.321,0.671,0.0102339054064116
"Rexo2",3.40772494528941e-07,-0.686548607073678,0.037,0.349,0.0105820082726072
"Rpl36al",3.72417710329745e-07,-0.615170761070835,0.358,0.737,0.0115646871588696
"Ift88",3.73158180332457e-07,1.04264101449426,0.272,0.046,0.0115876809738638
"Hnrnpf",3.80737779759468e-07,-0.603566081296508,0.235,0.612,0.0118230502748707
"Tra2b",3.88778327193604e-07,-0.572108371913734,0.185,0.546,0.012072733394343
"Glo1",3.9284892820856e-07,-0.688309757726863,0.037,0.336,0.0121991377676604
"Psme1",3.93954900273865e-07,-0.54537648054576,0.062,0.382,0.0122334815182043
"Rec8",3.98226738008539e-07,-0.616392329940967,0.012,0.296,0.0123661348953792
"Cnpy2",3.98589507700277e-07,-0.634409263196371,0.037,0.336,0.0123773999826167
"Sfpq",4.06359946568892e-07,-0.660699734040173,0.148,0.513,0.0126186954208038
"Aldoa",4.08210109200779e-07,-0.509444491284137,0.123,0.507,0.0126761485210118
"Sumo2",4.28980908311696e-07,-0.553737552751109,0.556,0.855,0.0133211441458031
"Rpl11",5.09542802429739e-07,-0.346860607850342,0.914,1,0.0158228326438507
"Pa2g4",5.31031490011146e-07,-0.615346577305639,0.148,0.513,0.0164901208593161
"Mrps36",5.46503159854233e-07,-0.660381320205968,0.123,0.454,0.0169705626229535
"Meioc",5.5312245795287e-07,1.15583071890446,0.469,0.211,0.0171761116868105
"Ndufs6",5.8454554921391e-07,-0.493846162745241,0.407,0.724,0.0181518929397395
"Spag7",6.13902346504028e-07,-0.611797109769524,0.012,0.283,0.0190635095659896
"mt-Nd3",6.3713302011039e-07,1.11189994306044,0.642,0.467,0.0197848916734879
"Anp32a",6.5302763700229e-07,-0.787952510114498,0.012,0.283,0.0202784672118321
"Mtch2",6.62046997795276e-07,-0.785464925471336,0.123,0.447,0.0205585454225367
"Ccnd1",7.19300856418816e-07,-0.703806633707973,0,0.257,0.0223364494943735
"Sh3bgrl3",7.43749031309638e-07,-0.608425315111382,0.16,0.507,0.0230956386692582
"Hnrnpab",7.75014050196625e-07,-0.512011002245335,0.198,0.572,0.0240665113007558
"Ndufb8",8.25180308776108e-07,-0.529436467306908,0.346,0.724,0.0256243241284245
"H2afz",9.13914576623643e-07,-0.449888913732746,0.519,0.822,0.028379789347894
"Taldo1",9.49165446315503e-07,-0.555644992929692,0.148,0.5,0.0294744346044353
"mt-Co1",9.7504392910532e-07,0.580928382648514,0.938,0.901,0.0302780391305075
"Cyct",9.78516412627156e-07,-0.605003706094812,0.074,0.382,0.0303858701613111
"Rpl13",9.98148129044599e-07,-0.268157404973235,1,1,0.0309954938512219
"Glrx2",1.014617666158e-06,-0.376236357069787,0.049,0.355,0.0315069223872044
"Rpl38",1.04500478107388e-06,-0.455548458917444,0.765,0.941,0.0324505334666873
"Rrm2",1.07651699141426e-06,-0.745908937255418,0.025,0.296,0.0334290821343871
"Magoh",1.08974966567386e-06,-0.56753084972495,0.21,0.553,0.0338399963681704
"Rpl37a",1.10666310436998e-06,-0.307632448333365,0.914,1,0.0343652093800009
